noun,frequency
한강,5495
대회,2540
러너,2444
여의도,1974
남산,1595
기록,1552
달리,1352
벚꽃,1299
도심,1296
참가,1282
광장,1222
서울특별시,1169
완주,1103
바로,1063
자전거,960
바퀴,959
가장,936
잠수교,933
장소,920
하프,917
트랙,917
정말,916
신청,916
행사,878
일정,877
날씨,816
길이,809
풍경,788
다시,775
느낌,760
무릎,760
주말,745
접수,742
중간,730
조금,727
청계천,717
참여,717
처음,713
하나,706
이용,704
트레일,677
광화문,664
자연,661
둘레길,660
진행,658
크루,655
운영,652
선택,649
정리,646
아침,636
반포,603
여기,599
이벤트,599
주차,598
다리,598
출구,597
주차장,594
요즘,593
보호대,590
모두,585
기념품,585
참가자,585
확인,576
오전,576
경복궁,574
기분,566
이제,562
가능,562
레이스,554
뚝섬,547
서울숲,541
산책,530
엑스포,527
제공,524
위해,521
진짜,520
아래,519
지점,518
저녁,514
가을,510
순환로,510
경험,509
공간,509
도전,508
안내,507
보관,507
부담,504
호선,498
다음,493
잠실,481
초보,478
위치,478
분위기,477
호수,472
식물원,465
도로,463
초보자,459
석촌호수,454
왕복,453
매력,446
올림픽,446
고구마,443
숲길,440
업힐,434
마음,433
티셔츠,432
카페,430
중랑천,430
프로그램,427
야경,424
체력,423
평지,421
지금,419
오르막,419
마무리,418
최고,418
목표,417
안양천,417
반환,415
다른,410
방문,407
하늘,400
바람,398
포인트,396
그냥,393
보고,393
특징,392
직접,388
공식,386
커피,385
문화,385
여름,383
필수,381
메달,381
출처,379
워킹,379
명소,378
가지,377
물품,376
걷기,375
부상,373
무료,371
화장실,369
나무,369
양재천,369
시민,366
구성,366
난이도,364
스포츠,364
사실,363
겨울,363
한번,362
입구,360
운동장,355
거의,354
하프마라톤,348
이유,345
라면,345
브랜드,339
유지,335
부스,332
장점,330
아주,327
현장,327
참고,321
지나,321
힐링,320
착용,320
대표,319
스트레칭,312
계속,312
인기,312
경우,311
산책로,310
지하철,310
통해,310
사이,307
에너지,307
크게,305
장거리,305
댕댕,303
모든,303
센터,302
노을,299
노들섬,299
강변,296
마지막,295
속도,294
축제,292
보라매,289
롯데,288
사용,287
기간,285
계절,285
예정,285
하루,284
여행,284
서울시,284
보기,282
먼저,280
