place,밤,새벽,시간미상,아침,오전,오후,저녁
가능,0,0,1,0,0,0,0
가득안고,0,1,0,1,1,0,0
가든호텔,0,0,0,1,0,0,0
가볍게,0,0,1,0,0,0,0
가서,0,0,0,0,0,0,1
가양,0,0,1,0,0,0,0
가양대교,0,0,0,0,3,0,0
가양역에서,0,0,1,0,0,0,0
가을,0,0,0,0,0,0,3
가평,1,1,0,0,1,0,0
각자의,0,0,0,2,2,0,0
간격으로,0,0,0,1,1,0,0
간식은,0,0,0,0,0,0,1
갈매,1,1,0,0,0,0,1
갈아입고,0,0,0,1,1,0,0
강변,0,1,0,0,1,0,1
같은,1,1,0,1,2,0,1
개롱역,0,0,0,0,1,0,0
거기,0,0,0,0,3,0,0
거기부터,0,0,0,0,3,0,0
거기서,0,0,0,0,0,0,2
거북선나루터,0,0,1,0,0,0,0
거여서,0,0,0,0,0,0,1
건너,0,0,0,3,3,0,3
검색해,0,1,0,0,1,0,0
경복궁,0,1,2,0,1,1,1
경복궁역,4,0,0,1,1,1,5
경복궁역에서,0,0,0,0,1,1,1
경복궁점,0,0,1,0,0,0,0
경사도는,0,0,0,0,1,0,0
경정공원에서,0,0,0,2,2,0,0
경주,0,0,0,0,1,0,0
경춘선숲길,2,0,0,2,2,0,2
고려대,0,0,0,2,0,0,0
고속터미널,1,0,0,0,1,0,1
고즈넉함,1,0,0,1,0,0,1
곡나루역에서,0,0,0,3,3,3,3
곳에서,0,0,0,0,1,0,0
곳에서부터,0,0,0,0,1,0,0
곳으로,0,0,0,1,1,0,0
공릉,0,0,0,2,1,0,2
공원에서,2,0,0,2,4,0,4
공원으로,0,0,1,0,0,0,0
공통적으로는,0,0,0,1,1,0,0
관악구,2,0,0,0,0,0,0
관악산,1,0,0,0,0,0,0
광나루,0,0,1,0,0,0,0
광나루역,0,0,1,0,0,0,0
광나루역에서,0,0,1,0,0,0,0
광장,0,0,1,10,12,2,1
광장에서,0,0,0,2,3,0,0
광화문,3,1,1,10,17,1,5
광화문광장,0,2,0,11,20,1,0
광화문에서,0,0,1,3,3,1,1
광화문역으로,0,0,0,1,1,0,0
광화문을,0,0,0,4,7,0,0
광화문이,0,0,0,1,1,1,1
광흥창,0,0,0,0,1,0,0
교통통제,0,0,0,0,3,0,0
구간은,0,0,0,1,1,0,0
구반포,2,0,0,1,1,0,0
구조,1,0,0,1,1,1,1
구파발,3,3,1,0,0,0,0
구파발역,0,0,1,0,0,0,0
구파발역에서,0,0,1,0,0,0,0
구파발역을,0,0,1,0,0,0,0
국내선,0,0,1,0,0,0,0
국립극장,3,0,1,4,3,1,3
국립극장에서,1,0,0,0,0,0,0
국립극장을,1,0,0,0,1,0,0
국역사박물관,0,0,2,0,0,0,0
국회의사당,0,0,0,1,1,0,1
군자교를,0,0,1,0,0,0,0
권역,1,0,0,0,0,0,0
그래도,0,1,0,1,1,0,1
그랜드하야트,0,0,0,0,0,0,1
그럼,0,0,0,1,0,0,0
그렇게,0,0,0,1,1,0,0
그룹,0,0,1,4,5,0,0
그룹별,0,1,1,4,4,0,0
그룹에서,0,0,0,2,4,0,0
그리고,0,1,4,2,2,0,0
그쳤고,0,1,0,1,0,0,0
근데,0,1,0,0,0,0,0
근린공원,2,0,0,0,2,0,0
기록은,0,0,1,1,1,0,0
기분좋게,0,0,1,0,0,0,0
길고,0,0,0,0,0,0,2
길음,0,1,0,1,1,0,1
길음역,0,1,0,1,1,0,1
길음역에서,0,1,0,1,1,0,1
김포,0,0,1,0,0,0,0
김포공항으로,0,0,1,0,0,0,0
